Household: Household ID,FY 2014,FY 2015,FY 2016,FY 2017
a009000003A8w3S,0,0,1,0
a009000003A9Xrf,0,0,1,0
a009000003ABpzI,0,0,1,0
a009000003ACEAc,0,0,2,0
a009000003ENgp4,0,0,1,0
a009000003GRf2S,0,0,1,0
a009000003GRfF2,0,0,1,0
a009000003GRqDs,0,0,1,0
a009000003GRqIP,0,0,1,0
a009000003IX0za,0,0,1,0
a009000003IX1Rw,0,0,1,0
a009000003KjvRI,0,0,1,0
a009000003KjvTe,0,0,1,0
a009000003KjvVu,0,0,1,0
a009000003NAgsp,0,0,1,0
a009000003PCMPl,0,0,1,0
a009000003QweWe,0,0,1,0
a009000003QyTb2,0,0,1,0
a009000003WTwyy,0,0,1,0
