"Contact.ID","blank","others","emails","mails","calls","meetings","presentations","events","Total.Household.Gifts","Gave","bulk_email"
"0039000000DXkM1",0,0,5,0,0,1,0,0,150873,TRUE,FALSE
"0039000000DXkm5",0,0,3,0,0,0,0,0,165741.3,TRUE,FALSE
"0039000000DXkm7",0,0,12,1,0,0,0,0,74991.78,TRUE,TRUE
"0039000000DXkMb",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkmc",0,1,5,0,0,0,0,0,111551.32,TRUE,FALSE
"0039000000DXkMc",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkMC",1,0,0,0,0,0,0,0,23490.7,TRUE,FALSE
"0039000000DXkMd",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkmE",0,0,114,0,0,0,0,0,681032.13,TRUE,TRUE
"0039000000DXkMI",0,0,3,0,0,2,0,0,510940,TRUE,FALSE
"0039000000DXkMk",0,0,25,0,0,0,0,0,681032.13,TRUE,TRUE
"0039000000DXkmo",0,0,4,0,0,0,0,0,31459.65,TRUE,FALSE
"0039000000DXkms",0,1,11,0,0,2,0,0,1424996.65,TRUE,TRUE
"0039000000DXkmt",0,0,9,1,0,1,0,0,1424996.65,TRUE,FALSE
"0039000000DXkMx",1,0,0,0,0,0,0,0,1000,TRUE,FALSE
"0039000000DXkMy",1,0,0,0,0,0,0,0,2121,TRUE,FALSE
"0039000000DXkn3",1,0,0,0,0,0,0,0,192000,TRUE,FALSE
"0039000000DXkNc",1,0,0,0,0,0,0,0,137250.21,TRUE,FALSE
"0039000000DXkNd",1,0,0,0,0,0,0,0,137250.21,TRUE,FALSE
"0039000000DXkND",1,0,0,0,0,0,0,0,135327.01,TRUE,FALSE
"0039000000DXkne",0,0,1,0,0,0,0,0,100500,TRUE,FALSE
"0039000000DXkNE",1,0,0,0,0,0,0,0,135327.01,TRUE,FALSE
"0039000000DXkNf",0,0,2,0,0,0,0,0,28571.95,TRUE,FALSE
"0039000000DXkNh",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkNp",0,0,15,1,0,2,0,0,168746,TRUE,TRUE
"0039000000DXknQ",0,0,1,0,0,0,0,0,95328.8,TRUE,FALSE
"0039000000DXknS",0,1,30,0,1,2,0,0,2016833.45,TRUE,TRUE
"0039000000DXknU",0,1,24,0,0,1,0,0,2016833.45,TRUE,TRUE
"0039000000DXkNU",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkNv",0,0,2,0,0,0,0,0,186025,TRUE,FALSE
"0039000000DXkNx",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXko3",0,0,6,0,0,0,0,0,138576.65,TRUE,FALSE
"0039000000DXko4",1,0,0,0,0,0,0,0,138576.65,TRUE,FALSE
"0039000000DXkoG",1,0,0,0,0,0,0,0,940.7,TRUE,FALSE
"0039000000DXkOg",0,0,1,0,0,0,0,0,103000,TRUE,FALSE
"0039000000DXkoI",1,0,0,0,0,0,0,0,21640.16,TRUE,FALSE
"0039000000DXkoJ",1,0,0,0,0,0,0,0,2511,TRUE,FALSE
"0039000000DXkOj",1,0,0,0,0,0,0,0,32500,TRUE,FALSE
"0039000000DXkoL",1,0,0,0,0,0,0,0,1503.5,TRUE,FALSE
"0039000000DXkOl",0,0,1,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkOo",1,0,0,0,0,0,0,0,76975,TRUE,FALSE
"0039000000DXkOQ",0,0,7,0,0,1,0,0,18128,TRUE,FALSE
"0039000000DXkOu",0,0,3,0,0,0,0,0,2000,TRUE,FALSE
"0039000000DXkoV",0,0,1,0,0,0,0,0,98924,TRUE,FALSE
"0039000000DXkoW",1,0,0,0,0,0,0,0,98924,TRUE,FALSE
"0039000000DXkPa",0,1,61,0,0,0,0,0,1614784.6,TRUE,TRUE
"0039000000DXkPb",0,1,224,0,0,0,0,0,1614784.6,TRUE,TRUE
"0039000000DXkpg",0,0,5,0,0,1,0,0,76625,TRUE,FALSE
"0039000000DXkPh",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkpJ",0,0,3,0,0,0,0,0,597633.3,TRUE,FALSE
"0039000000DXkPl",0,0,1,0,0,0,0,0,153525,TRUE,FALSE
"0039000000DXkPM",1,0,0,0,0,0,0,0,13940,TRUE,FALSE
"0039000000DXkPn",1,0,0,0,0,0,0,0,61186,TRUE,FALSE
"0039000000DXkpo",1,0,0,0,0,0,0,0,38467.31,TRUE,FALSE
"0039000000DXkPo",0,0,2,0,0,0,0,0,344848,TRUE,FALSE
"0039000000DXkpp",0,0,1,0,1,0,0,0,543539.85,TRUE,FALSE
"0039000000DXkpq",0,0,2,0,0,0,0,0,17640,TRUE,FALSE
"0039000000DXkPR",0,0,21,0,0,2,0,0,0,FALSE,TRUE
"0039000000DXkpT",0,1,6,0,0,0,0,0,594905.17,TRUE,FALSE
"0039000000DXkPT",1,0,0,0,0,0,0,0,411964.5,TRUE,FALSE
"0039000000DXkPU",0,0,1,0,0,0,0,0,411964.5,TRUE,FALSE
"0039000000DXkPV",0,0,19,0,0,1,0,0,6054668.76,TRUE,TRUE
"0039000000DXkPx",0,0,1,0,0,0,0,0,443014,TRUE,FALSE
"0039000000DXkpZ",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkq3",1,0,0,0,0,0,0,0,22700,TRUE,FALSE
"0039000000DXkq5",1,0,0,0,0,0,0,0,1000,TRUE,FALSE
"0039000000DXkQ7",0,0,1,0,0,0,0,0,344848,TRUE,FALSE
"0039000000DXkq8",1,0,0,0,0,0,0,0,118296.5,TRUE,FALSE
"0039000000DXkq9",1,0,0,0,0,0,0,0,118296.5,TRUE,FALSE
"0039000000DXkqB",1,0,0,0,0,0,0,0,262826,TRUE,FALSE
"0039000000DXkqC",1,0,0,0,0,0,0,0,262826,TRUE,FALSE
"0039000000DXkqd",0,0,10,0,0,1,0,0,751242.39,TRUE,TRUE
"0039000000DXkqf",0,0,9,0,0,0,0,0,202085.2,TRUE,FALSE
"0039000000DXkQI",0,0,5,0,0,0,0,0,418532.8,TRUE,FALSE
"0039000000DXkQK",1,0,0,0,0,0,0,0,2500,TRUE,FALSE
"0039000000DXkQm",0,0,2,0,0,1,0,0,74598,TRUE,FALSE
"0039000000DXkQq",1,0,0,0,0,0,0,0,121984.05,TRUE,FALSE
"0039000000DXkqr",1,0,0,0,0,0,0,0,495414.48,TRUE,FALSE
"0039000000DXkQr",0,0,1,0,0,1,0,0,140454,TRUE,FALSE
"0039000000DXkqt",1,0,0,0,0,0,0,0,495414.48,TRUE,FALSE
"0039000000DXkQt",1,0,0,0,0,0,0,0,7114,TRUE,FALSE
"0039000000DXkQW",0,0,4,0,0,0,0,0,105435.2,TRUE,FALSE
"0039000000DXkqY",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkQy",0,0,1,0,0,0,0,0,4232.15,TRUE,FALSE
"0039000000DXkr2",0,0,8,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkr6",1,0,0,0,0,0,0,0,1767.5,TRUE,FALSE
"0039000000DXkr7",1,0,0,0,0,0,0,0,1640,TRUE,FALSE
"0039000000DXkrH",0,0,10,0,0,0,0,0,1203056.17,TRUE,TRUE
"0039000000DXkRL",1,0,0,0,0,0,0,0,158945.93,TRUE,FALSE
"0039000000DXkRm",0,0,7,0,0,0,0,0,172707.5,TRUE,FALSE
"0039000000DXkRM",0,0,1,0,0,0,0,0,158945.93,TRUE,FALSE
"0039000000DXkrn",0,0,3,0,0,1,0,0,77657.48,TRUE,FALSE
"0039000000DXkro",1,0,0,0,0,0,0,0,11700,TRUE,FALSE
"0039000000DXkRo",0,0,4,0,0,0,0,0,111536.75,TRUE,FALSE
"0039000000DXkrs",0,0,46,0,1,0,0,0,458515.23,TRUE,TRUE
"0039000000DXkRS",1,0,0,0,0,0,0,0,80420,TRUE,FALSE
"0039000000DXkrt",0,0,11,0,0,0,0,0,458515.23,TRUE,TRUE
"0039000000DXkRT",0,0,1,0,0,0,0,0,69444,TRUE,FALSE
"0039000000DXkrX",1,0,0,0,0,0,0,0,132816,TRUE,FALSE
"0039000000DXkRx",1,0,0,0,0,0,0,0,27882,TRUE,FALSE
"0039000000DXkS0",1,0,0,0,0,0,0,0,13780,TRUE,FALSE
"0039000000DXkS5",0,1,0,0,0,0,0,0,138390.28,TRUE,FALSE
"0039000000DXks6",1,0,0,0,0,0,0,0,80491,TRUE,FALSE
"0039000000DXkS6",1,0,0,0,0,0,0,0,138390.28,TRUE,FALSE
"0039000000DXks9",0,0,34,1,0,0,0,0,8157963.65,TRUE,TRUE
"0039000000DXksB",1,0,0,0,0,0,0,0,152569,TRUE,FALSE
"0039000000DXkSd",1,0,0,0,0,0,0,0,1640,TRUE,FALSE
"0039000000DXkSi",1,0,0,0,0,0,0,0,54963.12,TRUE,FALSE
"0039000000DXksK",1,0,0,0,0,0,0,0,99161,TRUE,FALSE
"0039000000DXkSk",1,0,0,0,0,0,0,0,138480,TRUE,FALSE
"0039000000DXksL",1,0,0,0,0,0,0,0,99161,TRUE,FALSE
"0039000000DXkSm",0,0,13,0,0,1,0,0,130497.65,TRUE,TRUE
"0039000000DXkSM",0,0,41,0,0,2,0,0,712900.37,TRUE,TRUE
"0039000000DXkSn",0,0,4,0,0,0,0,0,130497.65,TRUE,FALSE
"0039000000DXksS",1,0,0,0,0,0,0,0,128000,TRUE,FALSE
