Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a009000000LLOkx,1,0,1,0,0
a009000000LLRBD,1,1,0,1,0
a009000000LLS0B,0,1,0,0,0
a009000000LLSKb,1,0,0,0,0
a009000000LLSN1,1,0,0,0,0
a009000000LLSjh,0,1,0,0,0
a009000000LLYFn,3,0,0,1,0
a009000000LMKr3,1,0,0,0,0
a009000000LMMET,1,0,0,0,0
a009000000LMO4t,1,0,0,0,0
a009000000LMzkq,1,0,0,0,0
a009000000LN00y,1,0,0,0,0
a009000000LN2QQ,1,0,0,0,0
a009000000LN2oR,1,0,0,0,0
a009000000LN5lJ,0,2,0,1,0
a009000000LN6kZ,1,0,0,0,0
a009000000LN6oy,1,0,0,0,0
a009000000MOJwD,0,3,0,0,0
a009000000MOzW5,4,5,3,5,0
a009000000MP0xn,1,0,0,0,0
a009000000MP14m,1,0,0,0,0
a009000000MP6Dr,1,0,0,0,0
a009000000NKYga,1,0,0,0,0
a009000000Nmbnm,0,0,2,3,0
a009000000NnEH5,2,6,0,0,0
a009000000OD09j,4,2,2,12,0
a009000000Oey0S,1,0,0,0,0
a009000000Or1fx,1,0,0,0,0
a009000000Or1gd,1,0,0,0,0
a009000000Or1gg,1,0,0,0,0
a009000000Or1go,1,1,0,5,0
a009000000Or1gq,1,0,0,1,0
a009000000Or1gr,2,0,0,0,0
a009000000Or1gt,1,0,0,1,0
a009000000PJRXy,2,0,0,0,0
a009000000PmfNN,0,0,0,1,0
a009000000QCWWP,1,0,0,0,0
a009000000QCWbo,8,0,0,0,0
a009000000QCjgK,1,3,0,2,0
a009000000QCkVz,1,3,0,1,0
a009000000QDFmY,1,1,1,0,0
a009000000QDTxp,0,0,1,0,0
a009000000QDV8o,1,1,2,4,0
a009000000QDVKg,1,3,0,1,0
a009000000QDXA0,1,2,0,0,0
a009000000QDcBO,1,4,0,1,0
a009000000QDcLG,1,0,0,0,0
a009000000QEd5t,2,2,0,0,0
a009000000QEdza,1,2,0,0,0
a009000000QEsnc,1,0,0,0,0
a009000000QEswO,2,0,0,0,0
a009000000QGMc7,10,12,1,0,0
a009000000QeK1u,1,0,0,0,0
a009000000QexiM,0,1,0,0,0
a009000000Qexid,0,4,0,0,0
a009000000Qttyw,1,0,0,0,0
a009000000Qttyx,1,0,0,0,0
a009000000Qttz0,1,0,0,0,0
a009000000Qttz2,1,0,0,0,0
a009000000Quddj,1,0,0,0,0
a009000000Qugp0,9,12,12,1,0
a009000000QuiDN,1,0,0,0,0
a009000000Quidx,1,0,0,0,0
a009000000QumJs,7,7,2,0,0
a009000000RH6Ua,1,0,0,0,0
a009000000RH6Ub,1,0,0,0,0
a009000000RH6Uj,1,0,0,0,0
a009000000RH6Ul,2,0,0,0,0
a009000000RH6Ur,1,0,0,0,0
a009000000RH6Uw,1,0,0,0,0
a009000000RH6Uy,1,0,0,0,0
a009000000RH6V0,1,0,0,0,0
a009000000RH6V1,1,0,0,0,0
a009000000RH6V3,1,0,0,0,0
a009000000RH6V7,1,0,0,0,0
